                  epoch,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/cls_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    187,                 5.9664,                0.38269,                0.40104,                0.33615,                0.09017,                  3.944,             3.8006e-05,             3.8006e-05,             3.8006e-05
                    188,                  5.968,                0.37908,                0.41546,                0.33327,                0.08928,                 3.9373,             3.7673e-05,             3.7673e-05,             3.7673e-05
                    189,                 5.9685,                0.38105,                0.41305,                0.33495,                0.08977,                 3.9281,              3.734e-05,              3.734e-05,              3.734e-05
                    190,                 5.9445,                0.39477,                0.40376,                0.34186,                0.09006,                  3.933,             3.7006e-05,             3.7006e-05,             3.7006e-05
                    191,                 5.9615,                0.39079,                0.40703,                0.33671,                0.09051,                 3.9362,             3.6673e-05,             3.6673e-05,             3.6673e-05
                    192,                 5.9558,                0.37945,                0.41308,                0.33695,                0.09085,                 3.9194,              3.634e-05,              3.634e-05,              3.634e-05
                    193,                 5.9592,                0.38126,                0.41585,                0.33911,                0.09183,                 3.9298,             3.6006e-05,             3.6006e-05,             3.6006e-05
                    194,                 5.9423,                0.37373,                0.42305,                0.33718,                0.09113,                 3.9203,             3.5673e-05,             3.5673e-05,             3.5673e-05
                    195,                 5.9584,                0.38171,                0.41311,                0.33287,                0.08966,                 3.9264,              3.534e-05,              3.534e-05,              3.534e-05
                    196,                 5.9529,                0.38064,                0.41113,                0.33545,                0.08894,                 3.9242,             3.5006e-05,             3.5006e-05,             3.5006e-05
