                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                 1.1537,                0.69587,                 1.7173,                0.96096,                0.92576,                0.97143,                0.70286,                 1.0773,                0.50238,                 1.6457,               0.006106,               0.006106,               0.006106
                    120,                 1.1485,                 0.7023,                 1.7185,                0.96165,                0.92157,                0.97075,                0.70179,                  1.071,                0.50227,                   1.65,               0.006073,               0.006073,               0.006073
                    121,                 1.1509,                 0.6932,                 1.7222,                0.95766,                0.91887,                0.96848,                0.69883,                 1.0697,                0.50323,                 1.6475,                0.00604,                0.00604,                0.00604
                    122,                 1.1495,                0.69501,                 1.7116,                0.96051,                0.91789,                0.97158,                0.69925,                 1.0761,                0.50256,                 1.6481,               0.006007,               0.006007,               0.006007
                    123,                  1.144,                0.69558,                 1.7095,                0.96453,                0.91044,                0.96947,                0.69799,                 1.0751,                  0.504,                 1.6511,               0.005974,               0.005974,               0.005974
                    124,                 1.1463,                 0.6943,                 1.7111,                 0.9503,                0.93054,                0.97031,                0.69546,                 1.0934,                0.49887,                 1.6634,               0.005941,               0.005941,               0.005941
                    125,                 1.1386,                0.69133,                 1.7109,                0.95785,                0.92812,                0.97198,                0.70195,                 1.0768,                0.49678,                 1.6438,               0.005908,               0.005908,               0.005908
                    126,                 1.1451,                0.69215,                  1.708,                0.95558,                0.91926,                0.96988,                0.70261,                 1.0715,                0.49684,                 1.6448,               0.005875,               0.005875,               0.005875
                    127,                 1.1416,                0.69066,                 1.7067,                0.96564,                0.92923,                0.97226,                0.70261,                 1.0853,                0.49148,                 1.6584,               0.005842,               0.005842,               0.005842
                    128,                 1.1397,                0.69171,                 1.7027,                0.96386,                0.92706,                0.96988,                0.69708,                 1.0857,                0.49622,                 1.6656,               0.005809,               0.005809,               0.005809
                    129,                 1.1343,                0.68485,                 1.6984,                0.95884,                0.92479,                0.96864,                  0.704,                 1.0698,                0.49763,                 1.6459,               0.005776,               0.005776,               0.005776
                    130,                 1.1364,                0.68406,                 1.6946,                0.96039,                0.92566,                0.96636,                0.69848,                 1.0949,                0.49917,                  1.659,               0.005743,               0.005743,               0.005743
                    131,                 1.1366,                 0.6868,                 1.6984,                0.95053,                0.93298,                0.97206,                0.70621,                 1.0629,                0.49214,                 1.6366,                0.00571,                0.00571,                0.00571
                    132,                 1.1342,                0.68234,                 1.6961,                0.95674,                0.92659,                0.97063,                0.70815,                 1.0719,                0.49611,                 1.6421,               0.005677,               0.005677,               0.005677
                    133,                 1.1355,                0.67978,                 1.6973,                0.95951,                 0.9228,                0.97127,                0.70146,                 1.0879,                0.49424,                 1.6575,               0.005644,               0.005644,               0.005644
                    134,                  1.128,                0.67612,                 1.6894,                0.95334,                0.91951,                0.97107,                 0.7051,                 1.0709,                0.49062,                 1.6401,               0.005611,               0.005611,               0.005611
